"","Academic Year","Public Sticker","Public Net","Private Sticker","Private Net"
"1","90-91",3520,2000,17240,11750
"2","91-92",3720,2060,17340,11150
"3","92-93",4000,2160,17900,10890
"4","93-94",4220,2260,18340,10870
"5","94-95",4390,2310,19000,11190
"6","95-96",4440,2320,19280,11360
"7","96-97",4560,2340,19920,11800
"8","97-98",4660,2150,20670,12000
"9","98-99",4790,1880,21690,12420
"10","99-00",4850,1800,22400,12840
"11","00-01",4890,1720,22380,12780
"12","01-02",5110,1740,23560,13910
"13","02-03",5480,1900,24130,14260
"14","03-04",6080,2320,24800,14420
"15","04-05",6510,2640,25470,14690
"16","05-06",6760,2870,25840,14710
"17","06-07",6860,2910,26380,14900
"18","07-08",7150,3050,27060,15080
"19","08-09",7220,2650,27150,14210
"20","09-10",7900,2220,28760,13430
"21","10-11",8420,2290,29550,12920
"22","11-12",8820,3100,29700,12770
"23","12-13",9080,3410,30450,13000
"24","13-14",9150,3370,31040,12980
"25","14-15",9240,3430,31600,13050
"26","15-16",9500,3620,32600,13310
"27","16-17",9650,3770,33480,14190
